Name,Hardness,Elemental Affinity,Quality,Description,Crafting Bonus
Holloiron,45,Air,Common,Porous iron ore with hollow channel structures inside.,Lightweight construction material
Saltbronze,60,Water,Common,Bronze with salt crystal inclusions from coastal mine deposits.,Minor corrode on weapon edges
Tarnmetal,45,None,Common,Heavily tarnished base metal from long-abandoned mines.,No notable bonuses
Frigidore,55,Ice,Common,Dense ice-mineral ore with extreme cold retention capacity.,Applies chill on any direct contact
Palecopper,40,None,Common,Bleached copper ore from high-altitude exposed mine shafts.,No notable bonuses
Galeshard,65,Air,Common,Shard-like ore formations from wind-carved ridge exposures.,Reduces item weight slightly
Scorchore,70,Fire,Common,Ore still bearing heat marks from ancient fire exposure.,Minor burn damage to weapons
Woodore,40,Nature,Common,Mineral ore with dense wood-like grain patterns inside.,Minor nature affinity on weapons
Cinderglass,60,Fire,Common,Glass formed from volcanic cinder and compacted silica.,Minor fire damage on weapons
Darkslate,55,Shadow,Common,Flat black slate with a light-absorbing matte surface.,Minor shadow affinity on gear
Frostferrite,50,Ice,Common,Cold ferrite from polar regions; retains its chill indefinitely.,Applies frost on any contact
Hazeore,55,Air,Common,Ore mined from cloud-high ridges; unusually and noticeably light.,Reduces armor weight
Swampglass,50,Nature,Common,Glass-like ore grown from ancient petrified swamp matter.,Minor nature affinity on weapons
Cragferrite,65,Earth,Common,Dense ferrite from steep sheer cliff deposits.,Adds structural integrity to armor
Brinemetal,55,Water,Common,Metal cast from brine-saturated coastal ore deposits.,Resists water corrosion
Emberdust,70,Fire,Common,Fine ember-laden ore dust compressed and fused into solid form.,Minor fire damage on weapons
Pallidiron,45,None,Common,Bleached pale iron from exposed high-altitude deposits.,No notable bonuses
Bittenore,60,Poison,Common,Iron ore with faint bitter mineral toxin residue inside.,Inflicts minor poison on deep cuts
Greyglass,50,None,Common,Plain grey-glass ore of entirely ordinary quality.,No notable bonuses
Dawnstone,65,Solar,Common,Warm golden-orange stone ore from sun-baked exposed ridges.,Minor radiant damage on weapons
Nightglass,60,Shadow,Common,Nearly opaque glass ore that forms in lightless caves.,Minor shadow affinity on gear
Peatferrite,45,Nature,Common,Organic ferrite from peat bog mineral layers.,Minor nature affinity on weapons
Coarseore,40,Earth,Common,Rough unrefined ore with poor mineral consistency.,Basic construction material
Thornmetal,65,Nature,Common,Metal with sharp thorn-like natural mineral protrusions.,Minor piercing damage from rough edges
Grimstone,55,Necrotic,Common,Dark grey stone ore from ancient burial ground deposits.,Minor necrotic affinity on weapons
Duskglass,50,Shadow,Common,Glass-like ore that darkens visibly in strong direct light.,Minor shadow resistance on armor
Dustiron,40,Air,Common,Fine-grained iron ore that releases mineral dust when worked.,Lightweight; minor air affinity
Slabstone,70,Earth,Common,Massive flat ore slabs used in heavy structural construction.,Excellent structural building material
Bleachore,40,None,Common,Sun-bleached ore from exposed desert surface deposits.,No notable bonuses
Brimstone,85,Fire,Common,Sulphur-laced ore that smells sharply of fire and char.,Adds burn damage and toxic smoke
Thornwire,60,Nature,Common,Thin wire-like ore strands from thorny mineral formations.,Minor piercing bonus on weapons
Rottingore,35,Necrotic,Common,Ore permeated with dark organic decay matter.,Minor life drain; weapons corrode quickly
Slateiron,45,Earth,Common,Compressed slate and iron deposits fused under pressure.,Adds weight and physical defense
Crustmetal,50,Earth,Common,Ore with a thick brittle outer crust over a dense core.,Good armor base; brittle under flexing
Milkstone,40,None,Common,Pale white stone-ore with an unusual opaque appearance.,No notable bonuses
Grainore,45,Earth,Common,Sandy granular ore with low refinement yield.,Basic construction only
Embershale,70,Fire,Common,Layered shale ore with embers trapped between seam layers.,Minor fire damage on weapons
Grimferrite,55,Necrotic,Common,Dark necrotic-touched ferrite from plague-blighted earth.,Minor life drain on any hit
Sootiron,60,Fire,Common,Iron ore permanently blackened with soot mineral deposits.,Minor fire damage on weapons
Coldslate,45,Ice,Common,Slate ore pulled from deep below permafrost layers.,Applies minor chill on contact
Stormcopper,180,Lightning,Uncommon,Copper ore etched with crackling static patterns.,Adds shock damage to weapons; improves speed
Moonsilver,200,Lunar,Uncommon,A shimmering silver alloy that glows faintly under moonlight.,Effective against creatures of darkness
Sunforge,220,Solar,Uncommon,Warm golden-hued metal forged in open-air solar furnaces.,Adds radiant damage; blinds on critical hits
Greenveil,170,Nature,Uncommon,A deep green metal laced with dormant spores and living minerals.,Improves healing effects on armor
Shadowsteel,250,Shadow,Uncommon,Near-black steel that absorbs direct light around the blade.,Improves stealth and adds shadow damage
Stormglass,300,Lightning,Uncommon,Glassy ore charged with static during storm formations.,Adds shock damage; crackles when wet
Ironsong,180,Magnetic,Uncommon,Iron ore that hums faintly at a constant low tone.,Affects metallic constructs; improves aim
Voidferrite,220,Shadow,Uncommon,Ferrite with a deep null quality that silences nearby sounds.,Minor silence aura; adds shadow damage
Runecopper,260,Arcane,Uncommon,Copper threaded with ancient runic mineral patterns.,Boosts magical enchantment potency
Tideiron,190,Water,Uncommon,Iron ore drawn from ocean floor pressure deposits.,Water resistance; minor cold on armor
Embersteel,280,Fire,Uncommon,Steel with fire minerals locked in its crystalline structure.,Significant burn damage; armor runs hot
Coldalloy,230,Ice,Uncommon,An alloy that retains arctic cold regardless of ambient temperature.,Applies chill and mild slow on hit
Thornsteel,200,Nature,Uncommon,Steel interwoven with nature mineral growth; thorny edge.,Minor bleed on weapon edges
Ashalloy,250,Fire,Uncommon,Alloy of ash mineral and iron; lightweight and warm.,Minor fire resistance and burn damage
Skyfrost,270,Ice,Uncommon,Pale blue metal from high-altitude glacier core deposits.,Applies chill and reduces enemy speed
Graveglass,300,Necrotic,Uncommon,Dark glass suffused with necrotic energy from burial sites.,Life drain; minor fear aura
Verdantore,180,Nature,Uncommon,Vibrant green ore grown in ancient forest root systems.,Improves healing; minor nature damage
Moonore,220,Lunar,Uncommon,Pale ore only extractable during moonlit nights.,Effective against lycanthropes and shadow
Lichstone,280,Necrotic,Uncommon,Stone ore permeated with undead essence.,Life drain; resists turning effects
Stormshard,350,Lightning,Uncommon,A jagged shard ore crackling with unrelenting static.,Strong shock damage; ignites in rain
Blazeferrite,230,Fire,Uncommon,Ferrite with a sustained inner glow from fire minerals.,Adds persistent burn damage to weapons
Rustblood,190,Necrotic,Uncommon,Orange-red ore resembling oxidized blood left to dry.,Inflicts wound-toxin; damages metals
Deepwater,210,Water,Uncommon,Dense blue-black ore from abyssal ocean trench deposits.,Water resistance; minor pressure damage
Mirrorsilver,240,Arcane,Uncommon,Hyper-reflective silver alloy that bounces spell fragments.,Reflects minor magical damage back
Thorncopper,180,Nature,Uncommon,Copper with jagged thorn-like structural mineral growths.,Adds bleed and minor nature damage
Fogshard,200,Air,Uncommon,Shard ore that releases a fine mist when worked or struck.,Obscures vision in area on impact
Blazeglass,260,Fire,Uncommon,Glass that flames briefly when exposed to intense impact.,Adds burst fire damage on heavy hits
Duskmetal,230,Shadow,Uncommon,Dark grey metal that seems to dim lights around it.,Minor stealth and shadow damage boost
Frostiron,200,Ice,Uncommon,Iron pulled from below deep permafrost; permanently cold.,Applies strong chill on hit
Voidiron,280,Shadow,Uncommon,Iron ore with a deep silent null quality inside it.,Silences magical effects; shadow damage
Blazeiron,250,Fire,Uncommon,Iron ore with fire minerals fused into the crystalline grain.,Strong burn damage; armor runs very hot
Wraithsteel,320,Shadow,Uncommon,Steel with a ghostly translucent inner layer.,Passes minor force through physical defense
Crystalferrite,260,Arcane,Uncommon,Ferrite with arcane crystal inclusions throughout.,Boosts spell damage; amplifies enchantments
Dawnsteel,280,Solar,Uncommon,Steel with warm golden sunrise coloring; glows softly at dawn.,Adds radiant damage; boosts holy abilities
Runeiron,300,Arcane,Uncommon,Iron ore etched with pre-existing runic formations inside.,Boosts magic enchantment capacity significantly
Boneferrite,220,Necrotic,Uncommon,Ferrite with bone-mineral inclusions; off-white and brittle.,Adds bone-shard damage; minor life drain
Stoneclad,180,Earth,Uncommon,Iron ore coated in a natural thick stone mineral crust.,Heavy; very high physical defense on armor
Aquaferrite,200,Water,Uncommon,Ferrite drawn from underwater mineral vents.,Strong water resistance; minor cold damage
Sparkore,250,Lightning,Uncommon,Ore that emits visible sparks when struck or carried rapidly.,Shock damage; ignites flammable targets
Venomferrite,220,Poison,Uncommon,Ferrite saturated with natural mineral toxin channels.,Inflicts persistent poison on wounds
Radiantore,280,Radiant,Uncommon,Ore that glows faintly with a golden-white warm inner light.,Adds radiant damage; blinds undead
Nightore,240,Shadow,Uncommon,Ore that seems darker than black in any lighting condition.,Strong stealth bonus; adds shadow damage
Ironveil,200,Magnetic,Uncommon,Iron ore that hums and pulls toward other metal objects.,Draws metallic projectiles; disrupts armor
Bleaksteel,270,Shadow,Uncommon,Steel with a hopeless oppressive quality suffused through it.,Inflicts minor fear; adds shadow damage
Ashenalloy,230,Fire,Uncommon,Alloy of volcanic ash-iron with residual flame energy.,Fire resistance and minor burn damage
Crystalsteel,300,Arcane,Uncommon,Steel with arcane crystal veins throughout its structure.,Significantly boosts magical enchantments
Flameore,280,Fire,Uncommon,Ore that blazes briefly when struck with force.,Strong burn damage; risk of igniting wielder
Coldore,220,Ice,Uncommon,Dense ore from deep arctic underground deposits.,Strong chill on hit; reduces wearer warmth
Shadowshard,260,Shadow,Uncommon,Shard ore that refracts light oddly and dims nearby sources.,Strong stealth bonus; shadow damage
Galeiron,200,Air,Uncommon,Iron ore from wind-carved high altitude cliff faces.,Reduces armor weight; adds air affinity
Bloomore,220,Nature,Uncommon,Ore with active living moss and micro-growth inside.,Adds nature damage; improves regeneration
Ghostmetal,280,Shadow,Uncommon,Semi-translucent metal with a hazy ghost-like inner quality.,Passes through partial defenses; shadow
Emberiron,250,Fire,Uncommon,Iron ore with molten ember cores that glow red inside.,Strong fire damage; armor gets dangerously hot
Ashstone,200,Fire,Uncommon,Stone-ore saturated with volcanic ash from eruption layers.,Fire resistance; minor burn damage
Mistalloy,230,Water,Uncommon,Alloy with moisture-releasing internal channels inside.,Applies chill; obscures area in mist
Moonstone,260,Lunar,Uncommon,Stone ore with pale lunar mineral crystallization inside.,Effective against dark creatures; lunar buff
Bloodore,280,Necrotic,Uncommon,"Deep red ore that smells faintly metallic, like old wounds.",Drains life on hit; corrupts metals
Tideferrite,220,Water,Uncommon,Ferrite from tidal flow zone mineral deposits.,Water resistance; mild corrosion immunity
Emberveil,250,Fire,Uncommon,Faintly glowing ore with heat trails under the surface.,Burn damage; warms wearer in cold
Shadowglass,280,Shadow,Uncommon,Black glass that reflects nothing; absorbs all light entirely.,Strong stealth bonus; shadow damage
Ironrose,220,Nature,Uncommon,Iron ore with organic rose-mineral spiral growths inside.,Minor bleed and nature damage combined
Crystalveil,260,Arcane,Uncommon,Veil-like ore with thin arcane crystal layers.,Strong magical enchantment boost
Coldstone,200,Ice,Uncommon,Dense stone ore from deep permafrost with cold mineral cores.,Strong chill on hit; slows enemies
Runealloy,280,Arcane,Uncommon,Alloy with ancient runic patterns etched naturally in it.,Significant magical enchantment boost
Blazealloy,250,Fire,Uncommon,Alloy with intense fire minerals and a red inner glow.,Strong burn damage; armor is very hot
Venomglass,220,Poison,Uncommon,Glass-like ore saturated with toxic mineral channels.,Persistent poison on any wound inflicted
Dawnore,260,Solar,Uncommon,Warm glowing ore extracted at first light from sun-drenched ridges.,Radiant damage; boosts holy effects
Darkferrite,230,Shadow,Uncommon,Ferrite permeated with darkness from lightless deep mines.,Strong shadow damage; stealth bonus
Strikeiron,280,Lightning,Uncommon,Iron that attracts and channels static charge from the air.,Shock damage; crackles in wet conditions
Spiritore,300,Arcane,Uncommon,Ore with a faint spiritual resonance inside its grain.,Boosts soul and arcane enchantments
Razorferrite,260,Force,Uncommon,Ferrite with razor-sharp internal crystalline edge formations.,Adds piercing force damage to weapons
Glacialglass,240,Ice,Uncommon,Glass from deep glacial mineral deposits; always freezing.,Very strong chill on hit; slows
Wraithore,280,Shadow,Uncommon,Ore with ghost-like inner translucence and eerie resonance.,Partial bypass of physical defense
Tidealloy,220,Water,Uncommon,Alloy from ocean floor mineral deposits; heavy and blue.,Strong water resistance; mild cold aura
Blightore,260,Necrotic,Uncommon,Ore from heavily corrupted necrotic earth deposits.,Life drain; corrupts other metals nearby
Cinderferrite,240,Fire,Uncommon,Ferrite with cinder deposits fused throughout its interior.,Strong burn damage to weapons
Moonalloy,280,Lunar,Uncommon,Alloy with lunar mineral inclusions; glows during moonlit nights.,Effective vs dark; lunar bonuses
Frostmetal,220,Ice,Uncommon,Metal perpetually cold; frost crystals form on its surface.,Strong chill; slows enemies on hit
Radiantstone,260,Radiant,Uncommon,Stone ore with bright golden-white mineral inclusions.,Radiant damage; blinds undead on hit
Stormiron,300,Lightning,Uncommon,Iron ore suffused with storm mineral static energy.,Strong shock damage; ignites wet targets
Verdantsteel,280,Nature,Uncommon,Steel with living green mineral veins active inside it.,Nature damage; improves healing effects
Voidalloy,320,Shadow,Uncommon,Alloy with deep null shadow quality inside.,Silences magic; adds strong shadow damage
Embersteel,350,Fire,Uncommon,Steel with intense fire mineral crystalline lattice inside.,Heavy burn damage; warms wearer
Bloodferrite,280,Necrotic,Uncommon,Dark red ferrite with life-drain mineral channels inside.,Significant life drain on each hit
Iceveil,260,Ice,Uncommon,Veil-like ore with ice mineral layers throughout.,Freeze on hit; slows all nearby movement
Lightningore,300,Lightning,Uncommon,Ore that crackles visibly and audibly with static energy.,Strong shock damage and ignites wet targets
Shadowalloy,280,Shadow,Uncommon,Alloy permeated with shadow energy; darkens surroundings.,Strong stealth and shadow damage
Soulstone,320,Arcane,Uncommon,Stone ore with spiritual resonance and arcane inclusions.,Significant magical amplification
Ashiron,350,"Fire, Air",Rare,Dense ash-iron ore from volcanic ejection zones high above.,Fire damage; reduces armor weight significantly
Voidcrystal,500,Shadow,Rare,A crystalline ore formed in places devoid of all light.,Strong shadow damage; silences magic in area
Skycrystal,550,"Air, Lightning",Rare,Crystal grown in upper atmosphere storm formations.,Shock damage; significantly reduces armor weight
Staralloy,600,"Arcane, Radiant",Rare,Alloy of celestial minerals from meteorite deposits.,Boosts magical power; adds radiant damage
Abyssstone,520,Shadow,Rare,Stone-ore from the deepest lightless ocean trenches.,Strong shadow damage; deep water resistance
Sunsteel,580,Solar,Rare,Steel forged entirely under concentrated focused sunlight.,Heavy radiant damage; blinds enemies near
Gravemetal,540,Necrotic,Rare,Metal suffused with death energy from ancient burial sites.,Strong life drain; minor fear aura
Mooncrystal,570,"Lunar, Arcane",Rare,Crystal grown only in moonlit caverns; faintly luminous.,Effective vs dark creatures; boosts magic
Icemetal,510,Ice,Rare,Metal with an absolute zero cold locked inside its core.,Freezes on any hit; slows to near halt
Runecrystal,620,Arcane,Rare,Crystal with ancient runic growth visible throughout.,Greatly boosts magical enchantment capacity
Blazecrystal,550,Fire,Rare,Crystal that blazes with inner fire even in vacuum.,Very heavy burn damage on any hit
Shadowcrystal,580,Shadow,Rare,Crystal formed in total darkness; absorbs all ambient light.,Strong shadow damage; nearly invisible
Thorncrystal,520,Nature,Rare,Crystal with active thorn-like mineral growth inside.,Bleed and nature damage on any hit
Cosmicsteel,640,"Arcane, Radiant",Rare,Steel refined from meteorite iron; otherworldly pattern.,Boosts all magical and radiant effects
Venomcrystal,540,Poison,Rare,Crystal saturated with potent mineral toxin chains.,Persistent powerful poison on any wound
Galesteel,560,"Air, Force",Rare,Steel reduced to near weightlessness through air mineral infusion.,Dramatically reduces equipment weight
Frostcrystal,600,Ice,Rare,Crystal formed in the coldest known deep underground cave.,Freezes enemies on hit; spreading ice aura
Wraithsteel,580,Shadow,Rare,Steel with ghost-mineral translucence; passes defense layers.,Bypasses portion of physical defense
Bloodcrystal,540,Necrotic,Rare,Dark red crystal with pulsing life-drain mineral channels.,Heavy life drain on each hit
Stormshard,620,"Lightning, Force",Rare,Shard ore from storm strike locations; explosive energy inside.,Heavy shock damage; knockback
Radiantcrystal,580,Radiant,Rare,Crystal with blinding golden-white inner glow.,Heavy radiant damage; blinds undead strongly
Thornsteel,550,Nature,Rare,Steel with deep thorn-mineral growth throughout structure.,Bleed on hit; nature damage combined
Embcrystal,600,Fire,Rare,Crystal formed over millennia inside volcanic magma chambers.,Very heavy fire damage; smelts armor
Shadowshard,560,Shadow,Rare,Shard ore with near-total light absorption inside.,Bypasses stealth detection; shadow damage
Dawncrystal,590,Solar,Rare,Crystal grown in direct unobstructed sunlight over decades.,Heavy radiant damage; boosts holy power
Cosmiccrystal,650,"Arcane, Void",Rare,Crystal grown in places between worlds; alien structure.,Boosts all magic; minor void damage
Moonmetal,570,Lunar,Rare,Metal infused with lunar mineral energy over long cycles.,Strong vs dark; amplifies lunar abilities
Icesteel,530,Ice,Rare,Steel with absolute zero cold locked into its matrix.,Freeze on hit; drains body heat from armor
Venomiron,540,Poison,Rare,Iron saturated with potent mineral toxin from poison veins.,Heavy persistent poison on any wound
Galeiron,570,"Air, Force",Rare,Iron reduced to stunning lightness by air mineral infusion.,Removes most of equipment weight
Starcrystal,640,"Arcane, Radiant",Rare,Crystal from meteorite mineral deposits; alien brilliance.,Boosts magic and adds radiant damage
Wraithcrystal,590,Shadow,Rare,Crystal with ghost-like translucent interior layers.,Bypasses significant physical defense
Abysscrystal,610,Shadow,Rare,Crystal formed in the deepest lightless void caverns.,Heavy shadow damage; absolute stealth bonus
Soulcrystal,620,Arcane,Rare,Crystal with strong spiritual resonance inside its core.,Greatly amplifies all magical effects
Volcanite,720,Fire,Rare,Dense ore drawn from deep inside active volcano cores.,Very heavy fire damage; burns through armor
Graviteite,680,"Earth, Force",Rare,Ore with unnaturally dense gravity properties inside.,Adds weight impact; shatters heavy armor
Tempestite,700,"Lightning, Air",Rare,Ore from lightning strike sites in high mountain peaks.,Heavy shock damage; knockback and stun
Cryolite,650,Ice,Rare,Ice-mineral ore that freezes solid anything it contacts.,Freeze on hit; persists for multiple rounds
Umbralite,720,Shadow,Rare,Ore from pure shadow-convergence deep underground.,Heavy shadow damage; silences magic
Aetheron,680,Arcane,Rare,Ore saturated with pure ambient magical energy.,Greatly boosts all magical abilities and effects
Sanguinite,640,Necrotic,Rare,Ore with pulsing blood-red life-drain mineral channels.,Heavy life drain; causes wounds to reopen
Solarium,760,Solar,Rare,Ore processed under focused solar energy for seasons.,Heavy radiant damage; boosts holy greatly
Glacium,700,Ice,Rare,Ore that maintains absolute cold in all environments.,Freeze on hit; creates ice radius on strike
Vesperon,640,Shadow,Rare,Ore of dusk-time formation; between shadow and light.,Shadow damage; partial bypass of defense
Phantorite,680,Psychic,Rare,Ore with strong psychic resonance; disturbing to hold.,Psychic damage; causes confusion on hit
Mortite,660,Necrotic,Rare,Ore of deep death-energy saturation from ancient tombs.,Heavy life drain; minor undead control aura
Volantite,700,"Air, Force",Rare,Ore of extreme lightness from high cloud-mineral deposits.,Removes nearly all equipment weight
Pyroclast,740,Fire,Rare,Ore ejected during volcanic eruptions; dense fire energy.,Very heavy fire damage; ignites all flammables
Wyrmsteel,820,"Fire, Force",Very Rare,Steel said to contain trace scale-minerals from great wyrms.,Heavy fire damage; shatters protective enchantments
Voidmetal,900,Shadow,Very Rare,Metal formed in places of complete magical nullity.,Silences all magic in area; heavy shadow damage
Skymetal,980,"Air, Lightning",Very Rare,Metal of extreme lightness with crackling storm energy inside.,Very heavy shock damage; weightless on wear
Cosmicmetal,1050,"Arcane, Radiant",Very Rare,Metal forged from meteorite core with alien mineral structure.,Greatly boosts all magic; heavy radiant damage
Abyssmetal,970,Shadow,Very Rare,Metal from the deepest shadow-convergence underground voids.,Absolute stealth; very heavy shadow damage
Soulsteel,1100,Arcane,Very Rare,Steel with a persistent spiritual resonance woven inside it.,Greatly amplifies soul and magical effects
Chronosteel,1150,Temporal,Very Rare,Steel formed over thousands of years in time-convergence sites.,Slows enemies briefly on hit; ages metals
Sunmetal,1080,Solar,Very Rare,Metal forged under sustained solar energy over centuries.,Very heavy radiant damage; sears all darkness
Dreamferrite,960,Psychic,Very Rare,Ferrite from psychic-convergence caverns; hypnotic grain.,Causes confusion and psychic damage on hit
Voidsteel,1200,Shadow,Very Rare,Steel permeated with pure void energy from null-spaces.,Silences magic; very heavy shadow damage
Frostmithril,1150,Ice,Very Rare,Rare mithril ore with deep arctic cold trapped inside lattice.,Freeze on hit; dramatically reduces weight
Moonmithril,1100,Lunar,Very Rare,Mithril with lunar mineral inclusions from sacred moon sites.,Strong vs dark; boosts lunar and arcane magic
Suncalcite,1050,Solar,Very Rare,Calcite-like ore formed in intense focused sunlight deposits.,Heavy radiant damage; sustains holy auras
Wraithmetal,1200,"Shadow, Force",Very Rare,Metal with ghost-mineral translucence throughout its matrix.,Bypasses significant physical defense layers
Voidcrystalline,1180,Shadow,Very Rare,Crystalline ore of pure void energy formation.,Absolute magic silence; heavy shadow damage
Soulore,1100,Arcane,Very Rare,Ore saturated with concentrated spiritual energy.,Amplifies all magical and soul-based effects
Chronite,1250,Temporal,Very Rare,Ore with time-mineral inclusions; aged from the inside out.,Temporal effects; slows enemies on contact
Gravemithril,1150,Necrotic,Very Rare,Mithril touched by death energy over deep burial epochs.,Life drain; mithril lightness combined
Pyrosteel,1080,Fire,Very Rare,Steel with extreme fire mineral energy inside crystalline lattice.,Extreme burn damage; ignites enchantments
Cosmicstone,1200,Arcane,Very Rare,Stone-ore grown in interplanar convergence zones.,Boosts all dimensional and magical effects
Thundersteel,1150,"Lightning, Force",Very Rare,Steel with explosive thunder-mineral energy locked inside.,Extreme shock damage; knockback on every hit
Phantomite,1100,Psychic,Very Rare,Ore with strong psychic resonance; causes visions on touch.,Psychic damage; confusion and fear on hit
Bloodmithril,1050,Necrotic,Very Rare,Mithril-class ore with life-drain blood mineral channels.,Heavy life drain combined with mithril weight
Galesteel,1150,"Air, Force",Very Rare,Steel of near-zero weight with explosive force mineral energy.,Removes all weight; adds kinetic force damage
Solarmetal,1200,Solar,Very Rare,Metal of extreme radiant energy forged in solar convergence.,Extreme radiant damage; sears all shadow magic
Dreamsteel,1080,Psychic,Very Rare,Steel with dream-psychic mineral inclusions; unsettling grain.,Confusion and psychic damage on any hit
